2,0
1.38196601,0.09788697
2,0.09788697
2.61803399,0.09788697
0.8244295,0.38196601
1.38196601,0.38196601
2,0.38196601
2.61803399,0.38196601
3.1755705,0.38196601
0.38196601,0.8244295
0.8244295,0.8244295
1.38196601,0.8244295
2,0.8244295
2.61803399,0.8244295
3.1755705,0.8244295
3.61803399,0.8244295
0.09788697,1.38196601
0.38196601,1.38196601
0.8244295,1.38196601
1.38196601,1.38196601
2,1.38196601
2.61803399,1.38196601
3.1755705,1.38196601
3.61803399,1.38196601
3.90211303,1.38196601
0,2
0.09788697,2
0.38196601,2
0.8244295,2
1.38196601,2
2,2
2.61803399,2
3.1755705,2
3.61803399,2
3.90211303,2
4,2
0.09788697,2.61803399
0.38196601,2.61803399
0.8244295,2.61803399
1.38196601,2.61803399
2,2.61803399
2.61803399,2.61803399
3.1755705,2.61803399
3.61803399,2.61803399
3.90211303,2.61803399
0.38196601,3.1755705
0.8244295,3.1755705
1.38196601,3.1755705
2,3.1755705
2.61803399,3.1755705
3.1755705,3.1755705
3.61803399,3.1755705
0.8244295,3.61803399
1.38196601,3.61803399
2,3.61803399
2.61803399,3.61803399
3.1755705,3.61803399
1.38196601,3.90211303
2,3.90211303
2.61803399,3.90211303
2,4
